날짜,제목,본문,링크,OID
2025-12-01 09:00:00,[속보]11월 반도체 수출 38.6%↑…'역대 최대',,https://n.news.naver.com/mnews/article/277/0005686779,277
2025-12-01 09:00:00,[속보]11월 수출 8.4%↑…'6개월 연속 플러스',,https://n.news.naver.com/mnews/article/277/0005686778,277
2025-12-01 09:12:00,[속보] 11월 반도체 수출 172.6억달러로 38.6% 증가…사상 최대,,https://n.news.naver.com/mnews/article/009/0005598684,009
2025-12-01 17:09:00,"[속보] 강훈식 ""징벌적손배제 사실상 작동 안해…정보유출 예방에 한계""",,https://n.news.naver.com/mnews/article/015/0005218459,015
2025-12-01 17:09:00,"[속보] 강훈식, 쿠팡 개인정보 유출에 ""근본적 제도보완 필요""",,https://n.news.naver.com/mnews/article/015/0005218458,015
2025-12-01 17:12:00,"[속보]강훈식, 쿠팡 개인정보 유출에 ""근본적 제도보완 필요""",,https://n.news.naver.com/mnews/article/277/0005687239,277
2025-12-01 17:22:00,"[속보] 강훈식 대통령 비서실장, 쿠팡 개인정보 유출에 “근본적 제도 보완 필요”",,https://n.news.naver.com/mnews/article/009/0005599080,009
2025-12-01 17:25:00,[포토에세이] 형제의 나라,,https://n.news.naver.com/mnews/article/009/0005599082,009
2025-12-01 17:35:00,[포토] 레고처럼 조립하는 가구,,https://n.news.naver.com/mnews/article/009/0005599101,009
2025-12-01 17:43:00,[포토] 20돌 맞은 하나금융,,https://n.news.naver.com/mnews/article/009/0005599110,009
2025-12-01 17:43:00,[표] 외국환율고시표,,https://n.news.naver.com/mnews/article/009/0005599109,009
2025-12-01 17:45:00,[포토] 기아 오토랜드 화성에 체험공간,,https://n.news.naver.com/mnews/article/009/0005599117,009
2025-12-01 17:54:00,[포토] 소비쿠폰 약발 다했나…손님 끊긴 남대문시장,,https://n.news.naver.com/mnews/article/009/0005599137,009
2025-12-01 18:05:00,[표] 오늘의 날씨,,https://n.news.naver.com/mnews/article/009/0005599175,009
2025-12-01 18:05:00,아이디,,https://n.news.naver.com/mnews/article/009/0005599174,009
2025-12-01 18:06:00,[포토] 겨울맞아 새옷 입은 광화문글판,,https://n.news.naver.com/mnews/article/009/0005599180,009
2025-12-01 18:07:00,[포토] 가장 뜨거운 겨울이 되길 … 불 밝힌 사랑의 온도탑,,https://n.news.naver.com/mnews/article/009/0005599190,009
2025-12-01 18:50:00,"[속보]검찰, 이진숙 '공직선거법 위반' 사건 보완수사 요구",,https://n.news.naver.com/mnews/article/008/0005285658,008
2025-12-01 18:50:00,"[속보]내란전담재판부·법왜곡죄 법안, 법사소위 與주도 통과",,https://n.news.naver.com/mnews/article/277/0005687276,277
2025-12-01 18:53:00,"[속보]검찰, 경찰에 이진숙 사건 보완 수사 요구",,https://n.news.naver.com/mnews/article/277/0005687277,277
2025-12-01 21:08:00,[속보]인권위 '양평공무원' 조사한 특검 수사관 직권남용 혐의 고발,,https://n.news.naver.com/mnews/article/277/0005687290,277
2025-12-02 06:36:00,[속보] 韓 “우라늄농축 협의 속히 시작하자”… 美 “긴밀 소통”,,https://n.news.naver.com/mnews/article/366/0001127367,366
2025-12-02 08:55:00,"[속보]여야, 내년도 예산안에 합의…'5년만 법정기한 내 처리'",,https://n.news.naver.com/mnews/article/277/0005687409,277
2025-12-02 08:57:00,"[속보]여야, 2일 오후 본회의 열어 예산안 처리…""핵심 국정과제 예산 유지·예비비 등 삭감""",,https://n.news.naver.com/mnews/article/277/0005687412,277
2025-12-02 08:59:00,"[속보]여야, 2일 예산안 처리 합의…""국정자원, AI 모빌리티, 분산전력망 증액""",,https://n.news.naver.com/mnews/article/277/0005687417,277
2025-12-02 09:04:00,"[속보] 여야, 내년도 예산안 합의…정부 원안 728조원 유지키로",,https://n.news.naver.com/mnews/article/016/0002565818,016
2025-12-02 09:08:00,[속보]우리금융 차기 회장 숏리스트 임종룡 등 4명 확정,,https://n.news.naver.com/mnews/article/277/0005687436,277
2025-12-02 10:27:00,"[속보] 과기정통부 ""쿠팡 전자서명키 악용…공격기간 6월24일~11월8일""",,https://n.news.naver.com/mnews/article/277/0005687566,277
2025-12-02 10:33:00,"[속보] 정부 ""공격자 신상, 수사로 확인 필요…스미싱 우려돼""",,https://n.news.naver.com/mnews/article/277/0005687573,277
2025-12-02 10:52:00,"[속보] 정부 ""쿠팡 전자서명키 악용…공격기간 6월24일~11월8일""",,https://n.news.naver.com/mnews/article/014/0005442840,014
2025-12-02 11:03:00,"[속보] 쿠팡 정보 책임자 ""공격자, 훔친 프라이빗 서명키 이용 추정""",,https://n.news.naver.com/mnews/article/014/0005442863,014
2025-12-02 11:03:00,"[속보] 브랫 매티스 쿠팡 CISO ""유출 직원 범죄 동기 알 수 없어""",,https://n.news.naver.com/mnews/article/014/0005442862,014
2025-12-02 11:04:00,"[속보] 최민희 과방위장 ""박대준 대표 답변 회피 시 청문회 진행""",,https://n.news.naver.com/mnews/article/014/0005442865,014
2025-12-02 11:31:00,"[속보] 박대준 쿠팡 대표 ""한국 법인은 내 책임...김범석 의장 거취 몰라""",,https://n.news.naver.com/mnews/article/014/0005442901,014
2025-12-02 11:37:00,"[속보] 박대준 쿠팡 대표 ""유출 사태, 김범석 의장에 이사회 통해 보고""",,https://n.news.naver.com/mnews/article/014/0005442908,014
2025-12-02 11:39:00,"[속보] 쿠팡 박대준 ""공격자, 시스템 개발자…퇴직 후 권한 말소""",,https://n.news.naver.com/mnews/article/008/0005286001,008
2025-12-02 11:42:00,"[속보] 박대준 쿠팡 대표 ""공격자는 인증 시스템 개발자...퇴직 후 권한 말소""",,https://n.news.naver.com/mnews/article/014/0005442909,014
2025-12-02 13:03:00,"[속보] 쿠팡 보안 책임자 ""공격자 이용 서명키, 갱신 기간 도래하지 않은 키""",,https://n.news.naver.com/mnews/article/014/0005442935,014
2025-12-02 13:03:00,"[속보] 박대준 쿠팡 대표 ""유출 정보에 '공동현관 비밀번호'도 일부 포함""",,https://n.news.naver.com/mnews/article/014/0005442933,014
2025-12-02 15:21:00,"[속보]이재명 대통령 ""일방 흡수하거나 억압하는 방식의 통일은 통일 아냐""",,https://n.news.naver.com/mnews/article/008/0005286124,008
2025-12-02 15:34:00,영장실질심사 출석하는 추경호 전 국민의힘 원내대표,,https://n.news.naver.com/mnews/article/009/0005599578,009
2025-12-02 15:51:00,민주평통자문회의 출범식 참석하는 이재명 대통령,,https://n.news.naver.com/mnews/article/009/0005599594,009
2025-12-02 17:42:00,[포토] LG 초프리미엄 빌트인 가전,,https://n.news.naver.com/mnews/article/009/0005599697,009
2025-12-02 17:44:00,카툰포커스,,https://n.news.naver.com/mnews/article/009/0005599708,009
2025-12-02 17:44:00,[표] 오늘의 날씨,,https://n.news.naver.com/mnews/article/009/0005599706,009
2025-12-02 17:44:00,아이디,,https://n.news.naver.com/mnews/article/009/0005599705,009
2025-12-02 17:45:00,[표] 외국환율고시표,,https://n.news.naver.com/mnews/article/009/0005599718,009
2025-12-02 17:45:00,"[포토] KB국민은행, 中 해외결제 서비스",,https://n.news.naver.com/mnews/article/009/0005599717,009
2025-12-02 17:59:00,"[포토] ""키오스크 주문도 거뜬""",,https://n.news.naver.com/mnews/article/009/0005599766,009
2025-12-02 18:05:00,"[포토] ""춥다 추워"" 3일 아침 영하 11도 강추위",,https://n.news.naver.com/mnews/article/009/0005599791,009
2025-12-02 18:08:00,[포토] 두 번 접는 '갤럭시 Z 트라이폴드' 공개,,https://n.news.naver.com/mnews/article/009/0005599802,009
2025-12-02 23:29:00,"[속보] '교육세 0.5%P 인상' 예산부수법안, 국회 본회의 통과",,https://n.news.naver.com/mnews/article/277/0005687939,277
2025-12-02 23:40:00,"[속보]국회, 내년도 예산안 처리…'5년만에 법정기한 내 처리'",,https://n.news.naver.com/mnews/article/277/0005687943,277
2025-12-02 23:41:00,"[속보]국회, 내년도 예산안 처리…'정부안보다 0.1조 줄어든 727.9조원'",,https://n.news.naver.com/mnews/article/277/0005687942,277
2025-12-03 08:50:00,[속보] 용산역 승강장서 전장연 시위...지하철 1호선 상행선 지연,,https://n.news.naver.com/mnews/article/008/0005286455,008
2025-12-03 09:02:00,"코스닥, 3.07P 오른 931.49 출발(0.33%↑)",,https://n.news.naver.com/mnews/article/277/0005688074,277
2025-12-03 09:02:00,"코스피, 15.33P 오른 4010.26 출발(0.38%↑)",,https://n.news.naver.com/mnews/article/277/0005688072,277
2025-12-03 09:04:00,[속보] 李대통령 “비무장 국민의 손으로 쿠데타 막아낸 건 세계 역사상 최초”,,https://n.news.naver.com/mnews/article/366/0001127665,366
2025-12-03 09:06:00,[속보] 李대통령 “12월 3일 ‘국민주권의 날’로 지정할 것”,,https://n.news.naver.com/mnews/article/366/0001127667,366
2025-12-03 09:08:00,[속보] 李대통령 “대한국민들 노벨평화상 수상할 자격 충분”,,https://n.news.naver.com/mnews/article/366/0001127668,366
2025-12-03 09:10:00,"[속보]李대통령 ""쿠테타 막은 국민들 노벨평화상 수상 자격 있어""",,https://n.news.naver.com/mnews/article/014/0005443366,014
2025-12-03 09:10:00,"[속보] 李대통령 “친위 쿠데타 가담자, 반드시 처벌 받아야”",,https://n.news.naver.com/mnews/article/366/0001127670,366
2025-12-03 09:21:00,"[속보] 李대통령 “대한국민 노벨평화상 수상, 타당성·가능성 논의하면 좋겠다”",,https://n.news.naver.com/mnews/article/366/0001127682,366
2025-12-03 09:21:00,"[속보] 李대통령 “추경호 영장기각, 국민이 상식과 원칙 따라 판단할 것”",,https://n.news.naver.com/mnews/article/366/0001127681,366
2025-12-03 09:21:00,"[속보] 李대통령 “내란특별재판부 설치, 국민주권의지 받들어 국회가 잘 판단할 것”",,https://n.news.naver.com/mnews/article/366/0001127680,366
2025-12-03 09:39:00,[속보] 李대통령 “예산안 합의처리해 준 국민의힘에 감사”,,https://n.news.naver.com/mnews/article/366/0001127692,366
2025-12-03 10:51:00,"[속보]개인정보위 ""쿠팡, 개인정보 '노출' 아닌 '유출'로 수정 재통지해야""",,https://n.news.naver.com/mnews/article/277/0005688250,277
2025-12-03 10:56:00,"[속보]개인정보위 ""3개월간 다크웹 등 인터넷 개인정보 모니터링 강화""",,https://n.news.naver.com/mnews/article/277/0005688258,277
2025-12-03 11:05:00,"[속보]'재석 60명 미만 필리버스터 중지' 국회법 개정안, 운영위 통과",,https://n.news.naver.com/mnews/article/277/0005688271,277
2025-12-03 11:15:00,"[속보]송언석 ""계엄 막지 못한 것 책임 통감...진심으로 사과""",,https://n.news.naver.com/mnews/article/277/0005688283,277
2025-12-03 14:47:00,"[속보] 박대준 쿠팡 대표 ""올해 김범석 의장 국내서 만난 적 없어""",,https://n.news.naver.com/mnews/article/014/0005443678,014
2025-12-03 15:16:00,"[속보] 박대준 쿠팡 대표 ""자발적 배상 검토할 것...합리적 방안 나올 수 있도록""",,https://n.news.naver.com/mnews/article/014/0005443709,014
2025-12-03 15:26:00,[속보] 서울중앙지검 '6000만원 수수' 노웅래 1심 무죄 항소,,https://n.news.naver.com/mnews/article/015/0005219570,015
2025-12-03 15:32:00,"코스닥, 3.59P 오른 932.01 마감(0.39%↑)",,https://n.news.naver.com/mnews/article/277/0005688437,277
2025-12-03 15:32:00,"코스피, 41.37P 오른 4036.30 마감(1.04%↑)",,https://n.news.naver.com/mnews/article/277/0005688434,277
2025-12-03 16:08:00,[표] 제62회 무역의 날 정부포상 훈장급 수상자 명단,,https://n.news.naver.com/mnews/article/009/0005600286,009
